Transaction ID,Date,Month,Customer ID,Gender,Age,Age group,Product Category,Quantity,Price per Unit,Total Amount
1,2023-11-24,November,CUST001,Male,34,26–35,Beauty,3,50,150
2,2023-02-27,February,CUST002,Female,26,26–35,Clothing,2,500,1000
3,2023-01-13,January,CUST003,Male,50,46–55,Electronics,1,30,30
4,2023-05-21,May,CUST004,Male,37,36–45,Clothing,1,500,500
5,2023-05-06,May,CUST005,Male,30,26–35,Beauty,2,50,100
6,2023-04-25,April,CUST006,Female,45,36–45,Beauty,1,30,30
7,2023-03-13,March,CUST007,Male,46,46–55,Clothing,2,25,50
8,2023-02-22,February,CUST008,Male,30,26–35,Electronics,4,25,100
9,2023-12-13,December,CUST009,Male,63,56+,Electronics,2,300,600
10,2023-10-07,October,CUST010,Female,52,46–55,Clothing,4,50,200
11,2023-02-14,February,CUST011,Male,23,18–25,Clothing,2,50,100
12,2023-10-30,October,CUST012,Male,35,26–35,Beauty,3,25,75
13,2023-08-05,August,CUST013,Male,22,18–25,Electronics,3,500,1500
14,2023-01-17,January,CUST014,Male,64,56+,Clothing,4,30,120
15,2023-01-16,January,CUST015,Female,42,36–45,Electronics,4,500,2000
16,2023-02-17,February,CUST016,Male,19,18–25,Clothing,3,500,1500
17,2023-04-22,April,CUST017,Female,27,26–35,Clothing,4,25,100
18,2023-04-30,April,CUST018,Female,47,46–55,Electronics,2,25,50
19,2023-09-16,September,CUST019,Female,62,56+,Clothing,2,25,50
20,2023-11-05,November,CUST020,Male,22,18–25,Clothing,3,300,900
21,2023-01-14,January,CUST021,Female,50,46–55,Beauty,1,500,500
22,2023-10-15,October,CUST022,Male,18,18–25,Clothing,2,50,100
23,2023-04-12,April,CUST023,Female,35,26–35,Clothing,4,30,120
24,2023-11-29,November,CUST024,Female,49,46–55,Clothing,1,300,300
25,2023-12-26,December,CUST025,Female,64,56+,Beauty,1,50,50
26,2023-10-07,October,CUST026,Female,28,26–35,Electronics,2,500,1000
27,2023-08-03,August,CUST027,Female,38,36–45,Beauty,2,25,50
28,2023-04-23,April,CUST028,Female,43,36–45,Beauty,1,500,500
29,2023-08-18,August,CUST029,Female,42,36–45,Electronics,1,30,30
30,2023-10-29,October,CUST030,Female,39,36–45,Beauty,3,300,900
31,2023-05-23,May,CUST031,Male,44,36–45,Electronics,4,300,1200
32,2023-01-04,January,CUST032,Male,30,26–35,Beauty,3,30,90
33,2023-03-23,March,CUST033,Female,50,46–55,Electronics,2,50,100
34,2023-12-24,December,CUST034,Female,51,46–55,Clothing,3,50,150
35,2023-08-05,August,CUST035,Female,58,56+,Beauty,3,300,900
